날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액,return,volatility
2018-01-02,2474.86,2481.02,2465.94,2479.65,262205431,4786386686165,1613508196692261,0.0,0.0
2018-01-03,2484.63,2493.4,2481.91,2486.35,331094681,6019622040484,1617634317727445,0.002701994233057059,0.0
2018-01-04,2502.5,2502.5,2466.45,2466.46,333836328,6896287056563,1604916139690676,-0.007999678243207908,0.00756722517800439
2018-01-05,2476.85,2497.52,2475.51,2497.52,308769669,6317518427311,1624970533116195,0.012592946976638597,0.010298972063674354
2018-01-08,2510.7,2515.37,2494.18,2513.28,311429324,6404885697956,1634777680824259,0.006310259777699612,0.008629788613926423
2018-01-09,2510.73,2524.73,2498.41,2510.23,374322741,7345518522444,1632067011137727,-0.0012135536032595873,0.007753351684253324
2018-01-10,2516.33,2516.82,2493.98,2499.75,444022038,8577963205899,1624057751825978,-0.004174916242734694,0.007447773203341108
2018-01-11,2496.86,2502.52,2483.82,2487.91,444340157,7789310921248,1616665407672775,-0.004736473647364847,0.007179873540102854
2018-01-12,2499.87,2500.87,2482.15,2496.42,438775501,8772175387868,1621717048649402,0.003420541739854066,0.006727141819003581
2018-01-15,2510.97,2513.3,2496.18,2503.73,404550878,6118634777651,1626574287749373,0.0029281931726232724,0.0063302202979888325
2018-01-16,2504.16,2524.55,2498.55,2521.74,341606608,6913692888279,1639188169775360,0.007193267644673984,0.006272292056338714
2018-01-17,2517.19,2521.97,2506.49,2515.43,336712525,6325747268741,1634771858627720,-0.0025022405164687456,0.006083958945317624
2018-01-18,2527.67,2532.08,2512.69,2515.81,333112031,6447655644566,1635724489304135,0.00015106761070682317,0.005810634193168016
2018-01-19,2519.67,2524.33,2513.09,2520.26,351845047,6263000889905,1637786602548241,0.001768814020136844,0.005565320814465991
2018-01-22,2516.9,2517.12,2488.44,2502.11,342994024,6385331485527,1626287540675022,-0.00720163792624573,0.00580604092864942
2018-01-23,2510.35,2536.6,2507.96,2536.6,370007847,6838404249758,1648667380287201,0.013784365995100023,0.0065410770183992
2018-01-24,2533.86,2547.22,2531.31,2538.0,371087271,6764738182069,1649315305139719,0.0005519198927699254,0.006324056881807214
2018-01-25,2536.96,2564.43,2536.73,2562.23,514605010,7867501171189,1665284071087011,0.00954688731284481,0.006428705126805744
2018-01-26,2560.69,2574.76,2553.53,2574.76,400648704,7673559139308,1673359183533335,0.004890271365178167,0.006275189848936417
2018-01-29,2588.87,2607.1,2587.55,2598.19,437474733,7908139065694,1688814425714740,0.00909987727011452,0.006305594767195587
2018-01-30,2590.41,2599.17,2567.07,2567.74,397038667,7877966009199,1668674846117706,-0.011719697173801835,0.0069100529154073565
2018-01-31,2557.37,2597.14,2553.01,2566.46,403051379,10842647300529,1668579804446713,-0.0004984928380598053,0.00692436807651955
2018-02-01,2578.91,2583.74,2564.59,2568.54,595147219,8053098628981,1670143714819334,0.0008104548677945189,0.006551055835524245
2018-02-02,2565.99,2565.99,2519.6,2525.39,481817771,8260733147352,1641386345850764,-0.016799426911786486,0.007313892169920342
2018-02-05,2487.34,2503.99,2476.24,2491.75,442349802,8096051108853,1620158999308614,-0.013320714820285184,0.00780523173302956
2018-02-06,2437.02,2460.28,2409.38,2453.31,582836967,9566550780902,1595275241964516,-0.015426908799036854,0.008499305861902926
2018-02-07,2483.72,2484.18,2396.56,2396.56,460075034,8369362461175,1558072990513737,-0.023132013483823877,0.009814239199951953
2018-02-08,2400.17,2423.88,2393.46,2407.62,362415715,7275110328522,1563754336073031,0.004614948092265481,0.009902360070805138
2018-02-09,2346.73,2372.9,2346.73,2363.77,489112012,8524086490331,1567308138862405,-0.018213007035994044,0.010490117179983173
2018-02-12,2380.49,2397.9,2367.31,2385.38,352288396,6631083611178,1581810883666255,0.009142175423158871,0.01075348580345352
2018-02-13,2402.89,2421.8,2388.54,2395.19,423415702,7333093361490,1589989717563195,0.004112552297746985,0.010630758847396483
2018-02-14,2412.47,2426.63,2408.02,2421.83,305739307,5970263260786,1607999332677788,0.011122290924728162,0.01105964067004081
2018-02-19,2452.52,2455.12,2428.15,2442.82,322137444,5843436838599,1621617423724698,0.008666999748124349,0.011301450119253879
2018-02-20,2433.35,2438.48,2411.23,2415.12,421485575,5146648554123,1603559124107592,-0.011339353697775612,0.011485982936621428
2018-02-21,2417.73,2432.45,2404.02,2429.65,432275482,6074260982996,1612751528318363,0.0060162642021930335,0.011554961703102388
2018-02-22,2417.18,2422.62,2405.23,2414.28,349492766,4982023714638,1602148941100045,-0.006326014034943261,0.011026577268088198
2018-02-23,2427.13,2451.52,2427.13,2451.52,300578392,5387096363913,1626053757217473,0.015424888579617768,0.011716776565444172
2018-02-26,2465.35,2466.08,2447.86,2457.65,321259942,5606026686918,1630210235664343,0.00250048949223336,0.011465088346318826
2018-02-27,2474.08,2480.79,2456.14,2456.14,271231732,5674164168373,1629406359657681,-0.0006144080727524814,0.011356054752763934
2018-02-28,2447.11,2460.12,2426.21,2427.36,367556992,7168378397321,1611555217440049,-0.011717573102510315,0.011209855795443535
2018-03-02,2406.57,2410.34,2387.25,2402.16,320397214,6077888427411,1593948106214368,-0.010381649199129983,0.011161066280042107
2018-03-05,2405.92,2407.98,2374.8,2375.06,312254166,5785012821697,1575913633409285,-0.011281513304692403,0.011280054072985888
2018-03-06,2400.67,2413.01,2392.87,2411.41,400110606,6598571319382,1600329702863531,0.01530487650838297,0.012032835559952576
2018-03-07,2413.39,2429.43,2395.24,2401.82,412971976,8956678689024,1594937953645217,-0.003976926362584399,0.011597220327392455
2018-03-08,2420.67,2433.08,2407.59,2433.08,394848837,9053040319812,1614933613693764,0.013015130192936875,0.011790433013152529
2018-03-09,2443.43,2476.43,2436.03,2459.45,437265049,8573691173426,1633438701140137,0.010838114653032305,0.011574293890724832
